[B|CAS|1|20200303|2310460]
[P|CAS|2|110000010000|59|586]
[P|CAS|3|110000020000|59|800]
[P|CAS|4|110000030000|59|437]
[P|CAS|5|110000040000|59|632]
[P|CAS|6|110000050000|59|675]
[P|CAS|7|110000060000|59|276]
[P|CAS|8|110000070000|59|302]
[P|CAS|9|110000080000|59|1319]
[P|CAS|10|110000090000|59|428]
[P|CAS|11|110000100000|59|273]
[P|CAS|12|110000110000|59|538]
[P|CAS|13|110000120000|59|534]
[P|CAS|14|110000130000|59|437]
[P|CAS|15|110000140000|59|311]
[P|CAS|16|110000150000|59|569]
[P|CAS|17|110000160000|59|446]
[P|CAS|18|110000170000|59|190]
[P|CAS|19|110000180000|59|337]
[P|CAS|20|110000190000|59|196]
[P|CAS|21|110000200000|59|359]
[P|CAS|22|110000210000|59|352]
[P|CAS|23|110000220000|59|214]
[P|CAS|24|110000230000|59|524]
[P|CAS|25|110000240000|59|367]
[P|CAS|26|110000250000|59|252]
[P|CAS|27|110000260000|59|555]
[P|CAS|28|110000270000|59|252]
[P|CAS|29|110000280000|59|248]
[P|CAS|30|110000290000|59|205]
[P|CAS|31|110000300000|59|229]
[P|CAS|32|110000310000|59|623]
[P|CAS|33|110000320000|59|205]
[P|CAS|34|110000330000|59|241]
[P|CAS|35|110000340000|59|181]
[P|CAS|36|110000350000|59|323]
[P|CAS|37|110000360000|59|299]
[P|CAS|38|110000370000|59|246]
[P|CAS|39|110000380000|59|219]
[P|CAS|40|110000390000|59|350]
[P|CAS|41|110000400000|59|180]
[P|CAS|42|110000410000|59|203]
[P|CAS|43|110000420000|59|292]
[P|CAS|44|110000430000|59|230]
[P|CAS|45|110000440000|59|235]
[P|CAS|46|110000450000|59|518]
[P|CAS|47|110000460000|59|237]
[P|CAS|48|110000470000|59|292]
[P|CAS|49|110000480000|59|423]
[P|CAS|50|110000490000|59|429]
[P|CAS|51|110000500000|59|398]
[P|CAS|52|110000510000|59|485]
[P|CAS|53|110000520000|59|435]
[P|CAS|54|110000530000|59|459]
[P|CAS|55|120000010000|59|789]
[P|CAS|56|120000030000|59|691]
[P|CAS|57|120000050000|59|452]
[P|CAS|58|120000070000|59|734]
[P|CAS|59|120000090000|59|615]
[P|CAS|60|120000110000|59|642]
[P|CAS|61|120000130000|59|378]
[P|CAS|62|120000150000|59|263]
[P|CAS|63|120000170000|59|520]
[P|CAS|64|120000190000|59|623]
[P|CAS|65|120000210000|59|472]
[P|CAS|66|120000230000|59|1089]
[P|CAS|67|120000250000|59|366]
[P|CAS|68|120000270000|59|425]
[P|CAS|69|120000290000|59|443]
[P|CAS|70|120000310000|59|257]
[P|CAS|71|120000330000|59|265]
[P|CAS|72|120000350000|59|314]
[P|CAS|73|120000370000|59|687]
[P|CAS|74|120000390000|59|605]
[P|CAS|75|130000010000|59|415]
[P|CAS|76|130000020000|59|693]
[P|CAS|77|130000030000|59|296]
[P|CAS|78|130000040000|59|485]
[P|CAS|79|130000050000|59|411]
[P|CAS|80|130000060000|59|339]
[P|CAS|81|130000070000|59|192]
[P|CAS|82|130000080000|59|197]
[P|CAS|83|130000090000|59|200]
[P|CAS|84|130000100000|59|332]
[P|CAS|85|130000110000|59|267]
[P|CAS|86|130000120000|59|202]
[P|CAS|87|130000130000|59|237]
[P|CAS|88|130000140000|59|337]
[P|CAS|89|130000150000|59|326]
[P|CAS|90|130000160000|59|366]
[P|CAS|91|130000170000|59|358]
[P|CAS|92|130000180000|59|286]
[P|CAS|93|130000190000|59|287]
[P|CAS|94|130000200000|59|376]
[P|CAS|95|130000210000|59|347]
[P|CAS|96|130000220000|59|214]
[P|CAS|97|130000230000|59|175]
[P|CAS|98|130000240000|59|162]
[P|CAS|99|130000250000|59|153]
[P|CAS|100|130000260000|59|166]
[P|CAS|101|130000270000|59|93]
[P|CAS|102|130000280000|59|149]
[P|CAS|103|130000290000|59|304]
[P|CAS|104|130000300000|59|192]
[P|CAS|105|130000310000|59|170]
[P|CAS|106|130000320000|59|269]
[P|CAS|107|130000330000|59|878]
[P|CAS|108|130000340000|59|399]
[P|CAS|109|130000350000|59|212]
[P|CAS|110|130000360000|59|167]
[P|CAS|111|130000370000|59|402]
[P|CAS|112|130000380000|59|199]
[P|CAS|113|130000390000|59|162]
[P|CAS|114|130000400000|59|498]
[P|CAS|115|130000410000|59|205]
[P|CAS|116|130000420000|59|397]
[P|CAS|117|130000430000|59|158]
[P|CAS|118|130000440000|59|299]
[P|CAS|119|130000450000|59|144]
[P|CAS|120|130000460000|59|132]
[P|CAS|121|130000470000|59|338]
[P|CAS|122|130000480000|59|135]
[P|CAS|123|130000490000|59|132]
[P|CAS|124|130000500000|59|174]
[P|CAS|125|130000510000|59|131]
[P|CAS|126|130000520000|59|220]
[P|CAS|127|130000530000|59|115]
[P|CAS|128|130000540000|59|164]
[P|CAS|129|130000550000|59|218]
[P|CAS|130|130000560000|59|330]
[P|CAS|131|130000570000|59|146]
[P|CAS|132|130000580000|59|130]
[P|CAS|133|130000590000|59|136]
[P|CAS|134|130000600000|59|126]
[P|CAS|135|130000610000|59|131]
[P|CAS|136|130000620000|59|165]
[P|CAS|137|130000630000|59|133]
[P|CAS|138|130000640000|59|168]
[P|CAS|139|130000650000|59|255]
[P|CAS|140|130000660000|59|134]
[P|CAS|141|130000670000|59|182]
[P|CAS|142|130000680000|59|391]
[P|CAS|143|130000690000|59|130]
[P|CAS|144|130000700000|59|155]
[P|CAS|145|130000710000|59|352]
[P|CAS|146|130000720000|59|222]
[P|CAS|147|130000730000|59|275]
[P|CAS|148|130000740000|59|295]
[P|CAS|149|130000750000|59|239]
[P|CAS|150|130000760000|59|249]
[P|CAS|151|130000770000|59|308]
[P|CAS|152|130000780000|59|304]
[P|CAS|153|130000790000|59|288]
[P|CAS|154|130000800000|59|227]
[P|CAS|155|190000000013|59|20346]
[P|CAS|156|110000130000|01|436]
[P|CAS|157|110000150000|01|499]
[P|CAS|158|110000170000|01|79]
[P|CAS|159|120000070000|01|165]
[P|CAS|160|120000090000|01|436]
[P|CAS|161|130000150000|01|157]
[P|CAS|162|130000160000|01|132]
[P|CAS|163|130000180000|01|286]
[P|CAS|164|130000200000|01|376]
[P|CAS|165|130000250000|01|63]
[P|CAS|166|190000000013|01|1014]
[P|CAS|167|110000040000|02|5]
[P|CAS|168|120000010000|02|5]
[P|CAS|169|130000050000|02|5]
[P|CAS|170|190000000013|02|5]
[P|CAS|171|110000040000|03|30]
[P|CAS|172|130000050000|03|30]
[P|CAS|173|190000000013|03|30]
[P|CAS|174|110000010000|04|165]
[P|CAS|175|130000010000|04|41]
[P|CAS|176|130000030000|04|124]
[P|CAS|177|190000000013|04|165]
[P|CAS|178|110000040000|05|29]
[P|CAS|179|130000050000|05|29]
[P|CAS|180|190000000013|05|29]
[P|CAS|181|110000030000|06|18]
[P|CAS|182|130000030000|06|10]
[P|CAS|183|130000040000|06|8]
[P|CAS|184|190000000013|06|18]
[P|CAS|185|110000050000|07|103]
[P|CAS|186|110000090000|07|144]
[P|CAS|187|110000110000|07|538]
[P|CAS|188|110000150000|07|70]
[P|CAS|189|120000030000|07|107]
[P|CAS|190|120000070000|07|569]
[P|CAS|191|120000090000|07|179]
[P|CAS|192|130000110000|07|168]
[P|CAS|193|130000140000|07|284]
[P|CAS|194|130000150000|07|169]
[P|CAS|195|130000160000|07|234]
[P|CAS|196|190000000013|07|855]
[P|CAS|197|110000020000|08|18]
[P|CAS|198|130000020000|08|18]
[P|CAS|199|190000000013|08|18]
[P|CAS|200|110000040000|09|198]
[P|CAS|201|120000010000|09|198]
[P|CAS|202|130000050000|09|137]
[P|CAS|203|130000060000|09|61]
[P|CAS|204|190000000013|09|198]
[P|CAS|205|110000040000|10|5]
[P|CAS|206|110000160000|10|117]
[P|CAS|207|110000210000|10|72]
[P|CAS|208|110000220000|10|140]
[P|CAS|209|130000230000|10|164]
[P|CAS|210|130000310000|10|170]
[P|CAS|211|190000000013|10|334]
[P|CAS|212|110000010000|11|8]
[P|CAS|213|110000030000|11|26]
[P|CAS|214|130000030000|11|34]
[P|CAS|215|190000000013|11|34]
[P|CAS|216|110000020000|12|141]
[P|CAS|217|130000020000|12|141]
[P|CAS|218|190000000013|12|141]
[P|CAS|219|110000510000|13|218]
[P|CAS|220|130000560000|13|218]
[P|CAS|221|190000000013|13|218]
[P|CAS|222|110000080000|14|21]
[P|CAS|223|130000260000|14|21]
[P|CAS|224|190000000013|14|21]
[P|CAS|225|110000210000|15|205]
[P|CAS|226|110000230000|15|452]
[P|CAS|227|130000260000|15|22]
[P|CAS|228|130000320000|15|205]
[P|CAS|229|130000340000|15|399]
[P|CAS|230|130000360000|15|31]
[P|CAS|231|190000000013|15|657]
[P|CAS|232|110000210000|16|64]
[P|CAS|233|130000320000|16|64]
[P|CAS|234|190000000013|16|64]
[P|CAS|235|110000030000|17|35]
[P|CAS|236|110000050000|17|35]
[P|CAS|237|130000040000|17|70]
[P|CAS|238|190000000013|17|70]
[P|CAS|239|110000010000|18|51]
[P|CAS|240|120000010000|18|51]
[P|CAS|241|130000010000|18|51]
[P|CAS|242|190000000013|18|51]
[P|CAS|243|110000230000|19|23]
[P|CAS|244|110000250000|19|180]
[P|CAS|245|110000260000|19|4]
[P|CAS|246|110000270000|19|229]
[P|CAS|247|110000280000|19|248]
[P|CAS|248|110000290000|19|205]
[P|CAS|249|110000300000|19|227]
[P|CAS|250|110000320000|19|205]
[P|CAS|251|110000330000|19|241]
[P|CAS|252|110000340000|19|181]
[P|CAS|253|110000350000|19|35]
[P|CAS|254|110000370000|19|246]
[P|CAS|255|110000380000|19|210]
[P|CAS|256|110000390000|19|57]
[P|CAS|257|110000400000|19|180]
[P|CAS|258|110000430000|19|230]
[P|CAS|259|110000440000|19|235]
[P|CAS|260|110000470000|19|136]
[P|CAS|261|120000210000|19|180]
[P|CAS|262|120000230000|19|1]
[P|CAS|263|120000250000|19|317]
[P|CAS|264|120000270000|19|198]
[P|CAS|265|120000290000|19|49]
[P|CAS|266|120000330000|19|265]
[P|CAS|267|120000350000|19|314]
[P|CAS|268|130000360000|19|118]
[P|CAS|269|130000380000|19|117]
[P|CAS|270|130000390000|19|162]
[P|CAS|271|130000410000|19|136]
[P|CAS|272|130000430000|19|158]
[P|CAS|273|130000440000|19|4]
[P|CAS|274|130000450000|19|143]
[P|CAS|275|130000460000|19|132]
[P|CAS|276|130000480000|19|135]
[P|CAS|277|130000490000|19|132]
[P|CAS|278|130000500000|19|174]
[P|CAS|279|130000510000|19|131]
[P|CAS|280|130000520000|19|36]
[P|CAS|281|130000530000|19|115]
[P|CAS|282|130000540000|19|164]
[P|CAS|283|130000550000|19|48]
[P|CAS|284|130000570000|19|146]
[P|CAS|285|130000580000|19|130]
[P|CAS|286|130000590000|19|136]
[P|CAS|287|130000620000|19|165]
[P|CAS|288|130000630000|19|133]
[P|CAS|289|130000640000|19|168]
[P|CAS|290|130000660000|19|134]
[P|CAS|291|130000700000|19|155]
[P|CAS|292|190000000013|19|3072]
[P|CAS|293|110000040000|20|12]
[P|CAS|294|110000160000|20|60]
[P|CAS|295|130000050000|20|72]
[P|CAS|296|190000000013|20|72]
[P|CAS|297|110000020000|21|157]
[P|CAS|298|130000100000|21|157]
[P|CAS|299|190000000013|21|157]
[P|CAS|300|110000040000|22|25]
[P|CAS|301|130000050000|22|25]
[P|CAS|302|190000000013|22|25]
[P|CAS|303|110000020000|23|248]
[P|CAS|304|130000020000|23|248]
[P|CAS|305|190000000013|23|248]
[P|CAS|306|110000160000|24|269]
[P|CAS|307|130000210000|24|269]
[P|CAS|308|190000000013|24|269]
[P|CAS|309|110000010000|25|21]
[P|CAS|310|120000010000|25|21]
[P|CAS|311|130000010000|25|21]
[P|CAS|312|190000000013|25|21]
[P|CAS|313|110000080000|26|12]
[P|CAS|314|130000050000|26|12]
[P|CAS|315|190000000013|26|12]
[P|CAS|316|110000200000|27|190]
[P|CAS|317|120000170000|27|106]
[P|CAS|318|130000290000|27|91]
[P|CAS|319|130000300000|27|99]
[P|CAS|320|190000000013|27|190]
[P|CAS|321|110000050000|28|170]
[P|CAS|322|120000030000|28|170]
[P|CAS|323|130000040000|28|170]
[P|CAS|324|190000000013|28|170]
[P|CAS|325|110000010000|29|38]
[P|CAS|326|110000040000|29|8]
[P|CAS|327|120000010000|29|46]
[P|CAS|328|130000010000|29|46]
[P|CAS|329|190000000013|29|46]
[P|CAS|330|110000380000|30|9]
[P|CAS|331|110000390000|30|257]
[P|CAS|332|110000450000|30|518]
[P|CAS|333|110000460000|30|237]
[P|CAS|334|110000470000|30|156]
[P|CAS|335|110000480000|30|423]
[P|CAS|336|110000490000|30|103]
[P|CAS|337|120000290000|30|359]
[P|CAS|338|120000370000|30|687]
[P|CAS|339|130000550000|30|135]
[P|CAS|340|130000650000|30|255]
[P|CAS|341|130000680000|30|391]
[P|CAS|342|130000690000|30|130]
[P|CAS|343|130000720000|30|222]
[P|CAS|344|130000730000|30|275]
[P|CAS|345|130000740000|30|295]
[P|CAS|346|190000000013|30|1703]
[P|CAS|347|110000010000|31|54]
[P|CAS|348|110000040000|31|247]
[P|CAS|349|120000010000|31|201]
[P|CAS|350|130000010000|31|53]
[P|CAS|351|130000050000|31|28]
[P|CAS|352|130000060000|31|220]
[P|CAS|353|190000000013|31|301]
[P|CAS|354|110000010000|32|29]
[P|CAS|355|120000010000|32|29]
[P|CAS|356|130000010000|32|29]
[P|CAS|357|190000000013|32|29]
[P|CAS|358|110000360000|33|299]
[P|CAS|359|110000410000|33|203]
[P|CAS|360|110000420000|33|292]
[P|CAS|361|110000500000|33|23]
[P|CAS|362|120000230000|33|158]
[P|CAS|363|120000310000|33|257]
[P|CAS|364|130000420000|33|161]
[P|CAS|365|130000560000|33|112]
[P|CAS|366|130000600000|33|126]
[P|CAS|367|130000610000|33|131]
[P|CAS|368|130000670000|33|182]
[P|CAS|369|130000710000|33|67]
[P|CAS|370|130000750000|33|38]
[P|CAS|371|190000000013|33|817]
[P|CAS|372|110000030000|34|33]
[P|CAS|373|110000060000|34|258]
[P|CAS|374|110000070000|34|302]
[P|CAS|375|110000090000|34|15]
[P|CAS|376|120000010000|34|64]
[P|CAS|377|120000030000|34|17]
[P|CAS|378|120000050000|34|17]
[P|CAS|379|130000060000|34|58]
[P|CAS|380|130000070000|34|174]
[P|CAS|381|130000080000|34|197]
[P|CAS|382|130000090000|34|175]
[P|CAS|383|130000110000|34|4]
[P|CAS|384|190000000013|34|608]
[P|CAS|385|110000200000|35|32]
[P|CAS|386|130000300000|35|32]
[P|CAS|387|190000000013|35|32]
[P|CAS|388|110000080000|36|1286]
[P|CAS|389|110000270000|36|23]
[P|CAS|390|110000310000|36|623]
[P|CAS|391|110000350000|36|288]
[P|CAS|392|110000390000|36|36]
[P|CAS|393|120000210000|36|292]
[P|CAS|394|120000230000|36|930]
[P|CAS|395|120000250000|36|49]
[P|CAS|396|120000290000|36|35]
[P|CAS|397|130000330000|36|878]
[P|CAS|398|130000360000|36|18]
[P|CAS|399|130000400000|36|498]
[P|CAS|400|130000410000|36|69]
[P|CAS|401|130000420000|36|236]
[P|CAS|402|130000470000|36|338]
[P|CAS|403|130000520000|36|184]
[P|CAS|404|130000550000|36|35]
[P|CAS|405|190000000013|36|2256]
[P|CAS|406|110000490000|37|326]
[P|CAS|407|110000500000|37|375]
[P|CAS|408|110000510000|37|267]
[P|CAS|409|110000520000|37|435]
[P|CAS|410|110000530000|37|459]
[P|CAS|411|120000390000|37|605]
[P|CAS|412|130000710000|37|285]
[P|CAS|413|130000750000|37|201]
[P|CAS|414|130000760000|37|249]
[P|CAS|415|130000770000|37|308]
[P|CAS|416|130000780000|37|304]
[P|CAS|417|130000790000|37|288]
[P|CAS|418|130000800000|37|227]
[P|CAS|419|190000000013|37|1862]
[P|CAS|420|110000120000|38|534]
[P|CAS|421|110000130000|38|1]
[P|CAS|422|110000140000|38|74]
[P|CAS|423|120000110000|38|609]
[P|CAS|424|130000170000|38|358]
[P|CAS|425|130000190000|38|251]
[P|CAS|426|190000000013|38|609]
[P|CAS|427|110000090000|39|269]
[P|CAS|428|110000100000|39|108]
[P|CAS|429|120000050000|39|377]
[P|CAS|430|130000090000|39|25]
[P|CAS|431|130000120000|39|115]
[P|CAS|432|130000130000|39|237]
[P|CAS|433|190000000013|39|377]
[P|CAS|434|110000240000|40|142]
[P|CAS|435|120000170000|40|142]
[P|CAS|436|130000350000|40|141]
[P|CAS|437|130000370000|40|1]
[P|CAS|438|190000000013|40|142]
[P|CAS|439|110000140000|41|237]
[P|CAS|440|110000180000|41|104]
[P|CAS|441|120000110000|41|33]
[P|CAS|442|120000130000|41|308]
[P|CAS|443|130000190000|41|36]
[P|CAS|444|130000220000|41|214]
[P|CAS|445|130000240000|41|91]
[P|CAS|446|190000000013|41|341]
[P|CAS|447|110000240000|42|202]
[P|CAS|448|120000190000|42|202]
[P|CAS|449|130000350000|42|71]
[P|CAS|450|130000370000|42|131]
[P|CAS|451|190000000013|42|202]
[P|CAS|452|110000170000|43|111]
[P|CAS|453|110000180000|43|166]
[P|CAS|454|110000190000|43|196]
[P|CAS|455|110000200000|43|5]
[P|CAS|456|120000130000|43|70]
[P|CAS|457|120000150000|43|263]
[P|CAS|458|120000170000|43|73]
[P|CAS|459|130000240000|43|71]
[P|CAS|460|130000250000|43|90]
[P|CAS|461|130000270000|43|93]
[P|CAS|462|130000280000|43|149]
[P|CAS|463|130000290000|43|38]
[P|CAS|464|130000300000|43|37]
[P|CAS|465|190000000013|43|478]
[P|CAS|466|110000180000|44|67]
[P|CAS|467|110000200000|44|132]
[P|CAS|468|120000170000|44|199]
[P|CAS|469|130000290000|44|175]
[P|CAS|470|130000300000|44|24]
[P|CAS|471|190000000013|44|199]
[P|CAS|472|110000010000|45|97]
[P|CAS|473|120000010000|45|97]
[P|CAS|474|130000010000|45|97]
[P|CAS|475|190000000013|45|97]
[P|CAS|476|110000010000|46|23]
[P|CAS|477|120000010000|46|23]
[P|CAS|478|130000010000|46|23]
[P|CAS|479|190000000013|46|23]
[P|CAS|480|110000010000|47|54]
[P|CAS|481|120000010000|47|54]
[P|CAS|482|130000010000|47|54]
[P|CAS|483|190000000013|47|54]
[P|CAS|484|110000030000|48|123]
[P|CAS|485|110000050000|48|52]
[P|CAS|486|120000030000|48|175]
[P|CAS|487|130000040000|48|27]
[P|CAS|488|130000110000|48|95]
[P|CAS|489|130000140000|48|53]
[P|CAS|490|190000000013|48|175]
[P|CAS|491|110000020000|49|211]
[P|CAS|492|110000050000|49|315]
[P|CAS|493|120000030000|49|102]
[P|CAS|494|130000020000|49|261]
[P|CAS|495|130000040000|49|90]
[P|CAS|496|130000100000|49|175]
[P|CAS|497|190000000013|49|526]
[P|CAS|498|110000100000|50|165]
[P|CAS|499|120000050000|50|58]
[P|CAS|500|130000120000|50|87]
[P|CAS|501|130000210000|50|78]
[P|CAS|502|190000000013|50|165]
[P|CAS|503|110000030000|51|48]
[P|CAS|504|130000030000|51|48]
[P|CAS|505|190000000013|51|48]
[P|CAS|506|110000010000|52|46]
[P|CAS|507|130000030000|52|46]
[P|CAS|508|190000000013|52|46]
[P|CAS|509|110000020000|53|25]
[P|CAS|510|130000020000|53|25]
[P|CAS|511|190000000013|53|25]
[P|CAS|512|110000210000|54|11]
[P|CAS|513|110000220000|54|74]
[P|CAS|514|110000230000|54|49]
[P|CAS|515|130000230000|54|11]
[P|CAS|516|130000260000|54|123]
[P|CAS|517|190000000013|54|134]
[P|CAS|518|110000040000|55|73]
[P|CAS|519|130000050000|55|73]
[P|CAS|520|190000000013|55|73]
[P|CAS|521|110000240000|56|23]
[P|CAS|522|110000250000|56|72]
[P|CAS|523|110000260000|56|551]
[P|CAS|524|110000300000|56|2]
[P|CAS|525|120000190000|56|421]
[P|CAS|526|120000270000|56|227]
[P|CAS|527|130000370000|56|270]
[P|CAS|528|130000380000|56|82]
[P|CAS|529|130000440000|56|295]
[P|CAS|530|130000450000|56|1]
[P|CAS|531|190000000013|56|648]
[P|CAS|532|110000030000|57|120]
[P|CAS|533|110000060000|57|18]
[P|CAS|534|120000030000|57|120]
[P|CAS|535|130000040000|57|120]
[P|CAS|536|130000070000|57|18]
[P|CAS|537|190000000013|57|138]
[P|CAS|538|110000030000|58|34]
[P|CAS|539|130000030000|58|34]
[P|CAS|540|190000000013|58|34]
[E|CAS|541|20200303|2311290]
