[B|CAS|1|20200303|2310260]
[P|CAS|2|010001000000|59|20346]
[P|CAS|3|010002000000|59|20346]
[P|CAS|4|010003000000|59|20346]
[P|CAS|5|010004000000|59|20346]
[P|CAS|6|010005000000|59|20346]
[P|CAS|7|010008000000|59|20346]
[P|CAS|8|010009000000|59|20346]
[P|CAS|9|010001000000|01|1014]
[P|CAS|10|010002000000|01|1014]
[P|CAS|11|010003000000|01|1014]
[P|CAS|12|010004000000|01|1014]
[P|CAS|13|010005000000|01|1014]
[P|CAS|14|010008000000|01|1014]
[P|CAS|15|010009000000|01|1014]
[P|CAS|16|010001000000|02|5]
[P|CAS|17|010002000000|02|5]
[P|CAS|18|010003000000|02|5]
[P|CAS|19|010004000000|02|5]
[P|CAS|20|010005000000|02|5]
[P|CAS|21|010008000000|02|5]
[P|CAS|22|010009000000|02|5]
[P|CAS|23|010001000000|03|30]
[P|CAS|24|010002000000|03|30]
[P|CAS|25|010003000000|03|30]
[P|CAS|26|010004000000|03|30]
[P|CAS|27|010005000000|03|30]
[P|CAS|28|010008000000|03|30]
[P|CAS|29|010009000000|03|30]
[P|CAS|30|010001000000|04|165]
[P|CAS|31|010002000000|04|165]
[P|CAS|32|010003000000|04|165]
[P|CAS|33|010004000000|04|165]
[P|CAS|34|010005000000|04|165]
[P|CAS|35|010008000000|04|165]
[P|CAS|36|010009000000|04|165]
[P|CAS|37|010001000000|05|29]
[P|CAS|38|010002000000|05|29]
[P|CAS|39|010003000000|05|29]
[P|CAS|40|010004000000|05|29]
[P|CAS|41|010005000000|05|29]
[P|CAS|42|010008000000|05|29]
[P|CAS|43|010009000000|05|29]
[P|CAS|44|010001000000|06|18]
[P|CAS|45|010002000000|06|18]
[P|CAS|46|010003000000|06|18]
[P|CAS|47|010004000000|06|18]
[P|CAS|48|010005000000|06|18]
[P|CAS|49|010008000000|06|18]
[P|CAS|50|010009000000|06|18]
[P|CAS|51|010001000000|07|855]
[P|CAS|52|010002000000|07|855]
[P|CAS|53|010003000000|07|855]
[P|CAS|54|010004000000|07|855]
[P|CAS|55|010005000000|07|855]
[P|CAS|56|010008000000|07|855]
[P|CAS|57|010009000000|07|855]
[P|CAS|58|010001000000|08|18]
[P|CAS|59|010002000000|08|18]
[P|CAS|60|010003000000|08|18]
[P|CAS|61|010004000000|08|18]
[P|CAS|62|010005000000|08|18]
[P|CAS|63|010008000000|08|18]
[P|CAS|64|010009000000|08|18]
[P|CAS|65|010001000000|09|198]
[P|CAS|66|010002000000|09|198]
[P|CAS|67|010003000000|09|198]
[P|CAS|68|010004000000|09|198]
[P|CAS|69|010005000000|09|198]
[P|CAS|70|010008000000|09|198]
[P|CAS|71|010009000000|09|198]
[P|CAS|72|010001000000|10|334]
[P|CAS|73|010002000000|10|334]
[P|CAS|74|010003000000|10|334]
[P|CAS|75|010004000000|10|334]
[P|CAS|76|010005000000|10|334]
[P|CAS|77|010008000000|10|334]
[P|CAS|78|010009000000|10|334]
[P|CAS|79|010001000000|11|34]
[P|CAS|80|010002000000|11|34]
[P|CAS|81|010003000000|11|34]
[P|CAS|82|010004000000|11|34]
[P|CAS|83|010005000000|11|34]
[P|CAS|84|010008000000|11|34]
[P|CAS|85|010009000000|11|34]
[P|CAS|86|010001000000|12|141]
[P|CAS|87|010002000000|12|141]
[P|CAS|88|010003000000|12|141]
[P|CAS|89|010004000000|12|141]
[P|CAS|90|010005000000|12|141]
[P|CAS|91|010008000000|12|141]
[P|CAS|92|010009000000|12|141]
[P|CAS|93|010001000000|13|218]
[P|CAS|94|010002000000|13|218]
[P|CAS|95|010003000000|13|218]
[P|CAS|96|010004000000|13|218]
[P|CAS|97|010005000000|13|218]
[P|CAS|98|010008000000|13|218]
[P|CAS|99|010009000000|13|218]
[P|CAS|100|010001000000|14|21]
[P|CAS|101|010002000000|14|21]
[P|CAS|102|010003000000|14|21]
[P|CAS|103|010004000000|14|21]
[P|CAS|104|010005000000|14|21]
[P|CAS|105|010008000000|14|21]
[P|CAS|106|010009000000|14|21]
[P|CAS|107|010001000000|15|657]
[P|CAS|108|010002000000|15|657]
[P|CAS|109|010003000000|15|657]
[P|CAS|110|010004000000|15|657]
[P|CAS|111|010005000000|15|657]
[P|CAS|112|010008000000|15|657]
[P|CAS|113|010009000000|15|657]
[P|CAS|114|010001000000|16|64]
[P|CAS|115|010002000000|16|64]
[P|CAS|116|010003000000|16|64]
[P|CAS|117|010004000000|16|64]
[P|CAS|118|010005000000|16|64]
[P|CAS|119|010008000000|16|64]
[P|CAS|120|010009000000|16|64]
[P|CAS|121|010001000000|17|70]
[P|CAS|122|010002000000|17|70]
[P|CAS|123|010003000000|17|70]
[P|CAS|124|010004000000|17|70]
[P|CAS|125|010005000000|17|70]
[P|CAS|126|010008000000|17|70]
[P|CAS|127|010009000000|17|70]
[P|CAS|128|010001000000|18|51]
[P|CAS|129|010002000000|18|51]
[P|CAS|130|010003000000|18|51]
[P|CAS|131|010004000000|18|51]
[P|CAS|132|010005000000|18|51]
[P|CAS|133|010008000000|18|51]
[P|CAS|134|010009000000|18|51]
[P|CAS|135|010001000000|19|3072]
[P|CAS|136|010002000000|19|3072]
[P|CAS|137|010003000000|19|3072]
[P|CAS|138|010004000000|19|3072]
[P|CAS|139|010005000000|19|3072]
[P|CAS|140|010008000000|19|3072]
[P|CAS|141|010009000000|19|3072]
[P|CAS|142|010001000000|20|72]
[P|CAS|143|010002000000|20|72]
[P|CAS|144|010003000000|20|72]
[P|CAS|145|010004000000|20|72]
[P|CAS|146|010005000000|20|72]
[P|CAS|147|010008000000|20|72]
[P|CAS|148|010009000000|20|72]
[P|CAS|149|010001000000|21|157]
[P|CAS|150|010002000000|21|157]
[P|CAS|151|010003000000|21|157]
[P|CAS|152|010004000000|21|157]
[P|CAS|153|010005000000|21|157]
[P|CAS|154|010008000000|21|157]
[P|CAS|155|010009000000|21|157]
[P|CAS|156|010001000000|22|25]
[P|CAS|157|010002000000|22|25]
[P|CAS|158|010003000000|22|25]
[P|CAS|159|010004000000|22|25]
[P|CAS|160|010005000000|22|25]
[P|CAS|161|010008000000|22|25]
[P|CAS|162|010009000000|22|25]
[P|CAS|163|010001000000|23|248]
[P|CAS|164|010002000000|23|248]
[P|CAS|165|010003000000|23|248]
[P|CAS|166|010004000000|23|248]
[P|CAS|167|010005000000|23|248]
[P|CAS|168|010008000000|23|248]
[P|CAS|169|010009000000|23|248]
[P|CAS|170|010001000000|24|269]
[P|CAS|171|010002000000|24|269]
[P|CAS|172|010003000000|24|269]
[P|CAS|173|010004000000|24|269]
[P|CAS|174|010005000000|24|269]
[P|CAS|175|010008000000|24|269]
[P|CAS|176|010009000000|24|269]
[P|CAS|177|010001000000|25|21]
[P|CAS|178|010002000000|25|21]
[P|CAS|179|010003000000|25|21]
[P|CAS|180|010004000000|25|21]
[P|CAS|181|010005000000|25|21]
[P|CAS|182|010008000000|25|21]
[P|CAS|183|010009000000|25|21]
[P|CAS|184|010001000000|26|12]
[P|CAS|185|010002000000|26|12]
[P|CAS|186|010003000000|26|12]
[P|CAS|187|010004000000|26|12]
[P|CAS|188|010005000000|26|12]
[P|CAS|189|010008000000|26|12]
[P|CAS|190|010009000000|26|12]
[P|CAS|191|010001000000|27|190]
[P|CAS|192|010002000000|27|190]
[P|CAS|193|010003000000|27|190]
[P|CAS|194|010004000000|27|190]
[P|CAS|195|010005000000|27|190]
[P|CAS|196|010008000000|27|190]
[P|CAS|197|010009000000|27|190]
[P|CAS|198|010001000000|28|170]
[P|CAS|199|010002000000|28|170]
[P|CAS|200|010003000000|28|170]
[P|CAS|201|010004000000|28|170]
[P|CAS|202|010005000000|28|170]
[P|CAS|203|010008000000|28|170]
[P|CAS|204|010009000000|28|170]
[P|CAS|205|010001000000|29|46]
[P|CAS|206|010002000000|29|46]
[P|CAS|207|010003000000|29|46]
[P|CAS|208|010004000000|29|46]
[P|CAS|209|010005000000|29|46]
[P|CAS|210|010008000000|29|46]
[P|CAS|211|010009000000|29|46]
[P|CAS|212|010001000000|30|1703]
[P|CAS|213|010002000000|30|1703]
[P|CAS|214|010003000000|30|1703]
[P|CAS|215|010004000000|30|1703]
[P|CAS|216|010005000000|30|1703]
[P|CAS|217|010008000000|30|1703]
[P|CAS|218|010009000000|30|1703]
[P|CAS|219|010001000000|31|301]
[P|CAS|220|010002000000|31|301]
[P|CAS|221|010003000000|31|301]
[P|CAS|222|010004000000|31|301]
[P|CAS|223|010005000000|31|301]
[P|CAS|224|010008000000|31|301]
[P|CAS|225|010009000000|31|301]
[P|CAS|226|010001000000|32|29]
[P|CAS|227|010002000000|32|29]
[P|CAS|228|010003000000|32|29]
[P|CAS|229|010004000000|32|29]
[P|CAS|230|010005000000|32|29]
[P|CAS|231|010008000000|32|29]
[P|CAS|232|010009000000|32|29]
[P|CAS|233|010001000000|33|817]
[P|CAS|234|010002000000|33|817]
[P|CAS|235|010003000000|33|817]
[P|CAS|236|010004000000|33|817]
[P|CAS|237|010005000000|33|817]
[P|CAS|238|010008000000|33|817]
[P|CAS|239|010009000000|33|817]
[P|CAS|240|010001000000|34|608]
[P|CAS|241|010002000000|34|608]
[P|CAS|242|010003000000|34|608]
[P|CAS|243|010004000000|34|608]
[P|CAS|244|010005000000|34|608]
[P|CAS|245|010008000000|34|608]
[P|CAS|246|010009000000|34|608]
[P|CAS|247|010001000000|35|32]
[P|CAS|248|010002000000|35|32]
[P|CAS|249|010003000000|35|32]
[P|CAS|250|010004000000|35|32]
[P|CAS|251|010005000000|35|32]
[P|CAS|252|010008000000|35|32]
[P|CAS|253|010009000000|35|32]
[P|CAS|254|010001000000|36|2256]
[P|CAS|255|010002000000|36|2256]
[P|CAS|256|010003000000|36|2256]
[P|CAS|257|010004000000|36|2256]
[P|CAS|258|010005000000|36|2256]
[P|CAS|259|010008000000|36|2256]
[P|CAS|260|010009000000|36|2256]
[P|CAS|261|010001000000|37|1862]
[P|CAS|262|010002000000|37|1862]
[P|CAS|263|010003000000|37|1862]
[P|CAS|264|010004000000|37|1862]
[P|CAS|265|010005000000|37|1862]
[P|CAS|266|010008000000|37|1862]
[P|CAS|267|010009000000|37|1862]
[P|CAS|268|010001000000|38|609]
[P|CAS|269|010002000000|38|609]
[P|CAS|270|010003000000|38|609]
[P|CAS|271|010004000000|38|609]
[P|CAS|272|010005000000|38|609]
[P|CAS|273|010008000000|38|609]
[P|CAS|274|010009000000|38|609]
[P|CAS|275|010001000000|39|377]
[P|CAS|276|010002000000|39|377]
[P|CAS|277|010003000000|39|377]
[P|CAS|278|010004000000|39|377]
[P|CAS|279|010005000000|39|377]
[P|CAS|280|010008000000|39|377]
[P|CAS|281|010009000000|39|377]
[P|CAS|282|010001000000|40|142]
[P|CAS|283|010002000000|40|142]
[P|CAS|284|010003000000|40|142]
[P|CAS|285|010004000000|40|142]
[P|CAS|286|010005000000|40|142]
[P|CAS|287|010008000000|40|142]
[P|CAS|288|010009000000|40|142]
[P|CAS|289|010001000000|41|341]
[P|CAS|290|010002000000|41|341]
[P|CAS|291|010003000000|41|341]
[P|CAS|292|010004000000|41|341]
[P|CAS|293|010005000000|41|341]
[P|CAS|294|010008000000|41|341]
[P|CAS|295|010009000000|41|341]
[P|CAS|296|010001000000|42|202]
[P|CAS|297|010002000000|42|202]
[P|CAS|298|010003000000|42|202]
[P|CAS|299|010004000000|42|202]
[P|CAS|300|010005000000|42|202]
[P|CAS|301|010008000000|42|202]
[P|CAS|302|010009000000|42|202]
[P|CAS|303|010001000000|43|478]
[P|CAS|304|010002000000|43|478]
[P|CAS|305|010003000000|43|478]
[P|CAS|306|010004000000|43|478]
[P|CAS|307|010005000000|43|478]
[P|CAS|308|010008000000|43|478]
[P|CAS|309|010009000000|43|478]
[P|CAS|310|010001000000|44|199]
[P|CAS|311|010002000000|44|199]
[P|CAS|312|010003000000|44|199]
[P|CAS|313|010004000000|44|199]
[P|CAS|314|010005000000|44|199]
[P|CAS|315|010008000000|44|199]
[P|CAS|316|010009000000|44|199]
[P|CAS|317|010001000000|45|97]
[P|CAS|318|010002000000|45|97]
[P|CAS|319|010003000000|45|97]
[P|CAS|320|010004000000|45|97]
[P|CAS|321|010005000000|45|97]
[P|CAS|322|010008000000|45|97]
[P|CAS|323|010009000000|45|97]
[P|CAS|324|010001000000|46|23]
[P|CAS|325|010002000000|46|23]
[P|CAS|326|010003000000|46|23]
[P|CAS|327|010004000000|46|23]
[P|CAS|328|010005000000|46|23]
[P|CAS|329|010008000000|46|23]
[P|CAS|330|010009000000|46|23]
[P|CAS|331|010001000000|47|54]
[P|CAS|332|010002000000|47|54]
[P|CAS|333|010003000000|47|54]
[P|CAS|334|010004000000|47|54]
[P|CAS|335|010005000000|47|54]
[P|CAS|336|010008000000|47|54]
[P|CAS|337|010009000000|47|54]
[P|CAS|338|010001000000|48|175]
[P|CAS|339|010002000000|48|175]
[P|CAS|340|010003000000|48|175]
[P|CAS|341|010004000000|48|175]
[P|CAS|342|010005000000|48|175]
[P|CAS|343|010008000000|48|175]
[P|CAS|344|010009000000|48|175]
[P|CAS|345|010001000000|49|526]
[P|CAS|346|010002000000|49|526]
[P|CAS|347|010003000000|49|526]
[P|CAS|348|010004000000|49|526]
[P|CAS|349|010005000000|49|526]
[P|CAS|350|010008000000|49|526]
[P|CAS|351|010009000000|49|526]
[P|CAS|352|010001000000|50|165]
[P|CAS|353|010002000000|50|165]
[P|CAS|354|010003000000|50|165]
[P|CAS|355|010004000000|50|165]
[P|CAS|356|010005000000|50|165]
[P|CAS|357|010008000000|50|165]
[P|CAS|358|010009000000|50|165]
[P|CAS|359|010001000000|51|48]
[P|CAS|360|010002000000|51|48]
[P|CAS|361|010003000000|51|48]
[P|CAS|362|010004000000|51|48]
[P|CAS|363|010005000000|51|48]
[P|CAS|364|010008000000|51|48]
[P|CAS|365|010009000000|51|48]
[P|CAS|366|010001000000|52|46]
[P|CAS|367|010002000000|52|46]
[P|CAS|368|010003000000|52|46]
[P|CAS|369|010004000000|52|46]
[P|CAS|370|010005000000|52|46]
[P|CAS|371|010008000000|52|46]
[P|CAS|372|010009000000|52|46]
[P|CAS|373|010001000000|53|25]
[P|CAS|374|010002000000|53|25]
[P|CAS|375|010003000000|53|25]
[P|CAS|376|010004000000|53|25]
[P|CAS|377|010005000000|53|25]
[P|CAS|378|010008000000|53|25]
[P|CAS|379|010009000000|53|25]
[P|CAS|380|010001000000|54|134]
[P|CAS|381|010002000000|54|134]
[P|CAS|382|010003000000|54|134]
[P|CAS|383|010004000000|54|134]
[P|CAS|384|010005000000|54|134]
[P|CAS|385|010008000000|54|134]
[P|CAS|386|010009000000|54|134]
[P|CAS|387|010001000000|55|73]
[P|CAS|388|010002000000|55|73]
[P|CAS|389|010003000000|55|73]
[P|CAS|390|010004000000|55|73]
[P|CAS|391|010005000000|55|73]
[P|CAS|392|010008000000|55|73]
[P|CAS|393|010009000000|55|73]
[P|CAS|394|010001000000|56|648]
[P|CAS|395|010002000000|56|648]
[P|CAS|396|010003000000|56|648]
[P|CAS|397|010004000000|56|648]
[P|CAS|398|010005000000|56|648]
[P|CAS|399|010008000000|56|648]
[P|CAS|400|010009000000|56|648]
[P|CAS|401|010001000000|57|138]
[P|CAS|402|010002000000|57|138]
[P|CAS|403|010003000000|57|138]
[P|CAS|404|010004000000|57|138]
[P|CAS|405|010005000000|57|138]
[P|CAS|406|010008000000|57|138]
[P|CAS|407|010009000000|57|138]
[P|CAS|408|010001000000|58|34]
[P|CAS|409|010002000000|58|34]
[P|CAS|410|010003000000|58|34]
[P|CAS|411|010004000000|58|34]
[P|CAS|412|010005000000|58|34]
[P|CAS|413|010008000000|58|34]
[P|CAS|414|010009000000|58|34]
[E|CAS|415|20200303|2311120]
