[B|CAS|1|20200219|1246540]
[R|CAS|2|110000010000|United States Representative District 1|DP]
[R|CAS|3|110000020000|United States Representative District 2|DP]
[R|CAS|4|110000030000|United States Representative District 3|DP]
[R|CAS|5|110000040000|United States Representative District 4|DP]
[R|CAS|6|110000050000|United States Representative District 5|DP]
[R|CAS|7|110000060000|United States Representative District 6|DP]
[R|CAS|8|110000070000|United States Representative District 7|DP]
[R|CAS|9|110000080000|United States Representative District 8|DP]
[R|CAS|10|110000090000|United States Representative District 9|DP]
[R|CAS|11|110000100000|United States Representative District 10|DP]
[R|CAS|12|110000110000|United States Representative District 11|DP]
[R|CAS|13|110000120000|United States Representative District 12|DP]
[R|CAS|14|110000130000|United States Representative District 13|DP]
[R|CAS|15|110000140000|United States Representative District 14|DP]
[R|CAS|16|110000150000|United States Representative District 15|DP]
[R|CAS|17|110000160000|United States Representative District 16|DP]
[R|CAS|18|110000170000|United States Representative District 17|DP]
[R|CAS|19|110000180000|United States Representative District 18|DP]
[R|CAS|20|110000190000|United States Representative District 19|DP]
[R|CAS|21|110000200000|United States Representative District 20|DP]
[R|CAS|22|110000210000|United States Representative District 21|DP]
[R|CAS|23|110000220000|United States Representative District 22|DP]
[R|CAS|24|110000230000|United States Representative District 23|DP]
[R|CAS|25|110000240000|United States Representative District 24|DP]
[R|CAS|26|110000250000|United States Representative District 25|DP]
[R|CAS|27|110000260000|United States Representative District 26|DP]
[R|CAS|28|110000270000|United States Representative District 27|DP]
[R|CAS|29|110000280000|United States Representative District 28|DP]
[R|CAS|30|110000290000|United States Representative District 29|DP]
[R|CAS|31|110000300000|United States Representative District 30|DP]
[R|CAS|32|110000310000|United States Representative District 31|DP]
[R|CAS|33|110000320000|United States Representative District 32|DP]
[R|CAS|34|110000330000|United States Representative District 33|DP]
[R|CAS|35|110000340000|United States Representative District 34|DP]
[R|CAS|36|110000350000|United States Representative District 35|DP]
[R|CAS|37|110000360000|United States Representative District 36|DP]
[R|CAS|38|110000370000|United States Representative District 37|DP]
[R|CAS|39|110000380000|United States Representative District 38|DP]
[R|CAS|40|110000390000|United States Representative District 39|DP]
[R|CAS|41|110000400000|United States Representative District 40|DP]
[R|CAS|42|110000410000|United States Representative District 41|DP]
[R|CAS|43|110000420000|United States Representative District 42|DP]
[R|CAS|44|110000430000|United States Representative District 43|DP]
[R|CAS|45|110000440000|United States Representative District 44|DP]
[R|CAS|46|110000450000|United States Representative District 45|DP]
[R|CAS|47|110000460000|United States Representative District 46|DP]
[R|CAS|48|110000470000|United States Representative District 47|DP]
[R|CAS|49|110000480000|United States Representative District 48|DP]
[R|CAS|50|110000490000|United States Representative District 49|DP]
[R|CAS|51|110000500000|United States Representative District 50|DP]
[R|CAS|52|110000510000|United States Representative District 51|DP]
[R|CAS|53|110000520000|United States Representative District 52|DP]
[R|CAS|54|110000530000|United States Representative District 53|DP]
[R|CAS|55|120000010000|State Senate District 1|DP]
[R|CAS|56|120000030000|State Senate District 3|DP]
[R|CAS|57|120000050000|State Senate District 5|DP]
[R|CAS|58|120000070000|State Senate District 7|DP]
[R|CAS|59|120000090000|State Senate District 9|DP]
[R|CAS|60|120000110000|State Senate District 11|DP]
[R|CAS|61|120000130000|State Senate District 13|DP]
[R|CAS|62|120000150000|State Senate District 15|DP]
[R|CAS|63|120000170000|State Senate District 17|DP]
[R|CAS|64|120000190000|State Senate District 19|DP]
[R|CAS|65|120000210000|State Senate District 21|DP]
[R|CAS|66|120000230000|State Senate District 23|DP]
[R|CAS|67|120000250000|State Senate District 25|DP]
[R|CAS|68|120000270000|State Senate District 27|DP]
[R|CAS|69|120000290000|State Senate District 29|DP]
[R|CAS|70|120000310000|State Senate District 31|DP]
[R|CAS|71|120000330000|State Senate District 33|DP]
[R|CAS|72|120000350000|State Senate District 35|DP]
[R|CAS|73|120000370000|State Senate District 37|DP]
[R|CAS|74|120000390000|State Senate District 39|DP]
[R|CAS|75|130000010000|State Assembly Member District 1|DP]
[R|CAS|76|130000020000|State Assembly Member District 2|DP]
[R|CAS|77|130000030000|State Assembly Member District 3|DP]
[R|CAS|78|130000040000|State Assembly Member District 4|DP]
[R|CAS|79|130000050000|State Assembly Member District 5|DP]
[R|CAS|80|130000060000|State Assembly Member District 6|DP]
[R|CAS|81|130000070000|State Assembly Member District 7|DP]
[R|CAS|82|130000080000|State Assembly Member District 8|DP]
[R|CAS|83|130000090000|State Assembly Member District 9|DP]
[R|CAS|84|130000100000|State Assembly Member District 10|DP]
[R|CAS|85|130000110000|State Assembly Member District 11|DP]
[R|CAS|86|130000120000|State Assembly Member District 12|DP]
[R|CAS|87|130000130000|State Assembly Member District 13|DP]
[R|CAS|88|130000140000|State Assembly Member District 14|DP]
[R|CAS|89|130000150000|State Assembly Member District 15|DP]
[R|CAS|90|130000160000|State Assembly Member District 16|DP]
[R|CAS|91|130000170000|State Assembly Member District 17|DP]
[R|CAS|92|130000180000|State Assembly Member District 18|DP]
[R|CAS|93|130000190000|State Assembly Member District 19|DP]
[R|CAS|94|130000200000|State Assembly Member District 20|DP]
[R|CAS|95|130000210000|State Assembly Member District 21|DP]
[R|CAS|96|130000220000|State Assembly Member District 22|DP]
[R|CAS|97|130000230000|State Assembly Member District 23|DP]
[R|CAS|98|130000240000|State Assembly Member District 24|DP]
[R|CAS|99|130000250000|State Assembly Member District 25|DP]
[R|CAS|100|130000260000|State Assembly Member District 26|DP]
[R|CAS|101|130000270000|State Assembly Member District 27|DP]
[R|CAS|102|130000280000|State Assembly Member District 28|DP]
[R|CAS|103|130000290000|State Assembly Member District 29|DP]
[R|CAS|104|130000300000|State Assembly Member District 30|DP]
[R|CAS|105|130000310000|State Assembly Member District 31|DP]
[R|CAS|106|130000320000|State Assembly Member District 32|DP]
[R|CAS|107|130000330000|State Assembly Member District 33|DP]
[R|CAS|108|130000340000|State Assembly Member District 34|DP]
[R|CAS|109|130000350000|State Assembly Member District 35|DP]
[R|CAS|110|130000360000|State Assembly Member District 36|DP]
[R|CAS|111|130000370000|State Assembly Member District 37|DP]
[R|CAS|112|130000380000|State Assembly Member District 38|DP]
[R|CAS|113|130000390000|State Assembly Member District 39|DP]
[R|CAS|114|130000400000|State Assembly Member District 40|DP]
[R|CAS|115|130000410000|State Assembly Member District 41|DP]
[R|CAS|116|130000420000|State Assembly Member District 42|DP]
[R|CAS|117|130000430000|State Assembly Member District 43|DP]
[R|CAS|118|130000440000|State Assembly Member District 44|DP]
[R|CAS|119|130000450000|State Assembly Member District 45|DP]
[R|CAS|120|130000460000|State Assembly Member District 46|DP]
[R|CAS|121|130000470000|State Assembly Member District 47|DP]
[R|CAS|122|130000480000|State Assembly Member District 48|DP]
[R|CAS|123|130000490000|State Assembly Member District 49|DP]
